exec_time,setup_time,goal_reached,scenario,model_name,interference_num,interference_desc,date,real_robot
39.53799999999382,1.015044927597046,True,tower,rlgs,0,None,202109191647,True
30.15000000001434,0.9457056522369385,True,tower,rlgs,0,None,202109191707,True
26.88800000001246,0.9857385158538818,True,tower,rlgs,0,None,202109191730,True
0.038999999999995705,0.9157600402832031,True,tower,rlgs,0,None,202109191730,True
30.02900000001608,0.9447963237762451,True,tower,rlgs,0,None,202109191735,True
62.21499999994617,1.0164008140563965,True,tower,rlgs,0,None,202109191737,True
20.93500000000451,0.9157793521881104,True,tower,rlgs,0,None,202109191750,True
35.712000000002696,0.9362454414367676,True,tower,rlgs,0,None,202109191754,True
45.484999999979976,0.9938585758209229,True,tower,rlgs,0,None,202109191755,True
0.022999999999997467,0.900017261505127,True,tower,rlgs,0,None,202109191756,True
35.597000000003035,1.0710363388061523,True,tower,rlgs,0,None,202109191757,True
